CHR,n,n_hi,n_lo,fold,r,p
1,2437,219,2218,1.505562362479246,0.16227525695577832,7.614135782735729e-16
2,1047,128,919,1.5863649062223772,0.22329456058304795,2.6899098891104766e-13
3,937,84,853,1.9586717361135115,0.2804823881577255,2.1245866629810187e-18
4,942,58,884,1.6774891612011378,0.3262993190781667,8.295991017569978e-25
5,780,137,643,1.8211355731404386,0.3985048779349888,4.3406736796654475e-31
6,1362,77,1285,1.6550573213181166,0.1366392943558849,4.152296035589082e-07
7,1181,69,1112,1.7123959116395102,0.177191986195143,8.707951459460209e-10
8,713,99,614,1.3801609648665405,0.1713626497291953,4.188788181020151e-06
9,346,34,312,2.9437053585632937,0.33314193463811814,2.0590562931524501e-10
10,549,52,497,1.7358433089368177,0.19751998868667534,3.1085465959507074e-06
11,948,40,908,1.6536105193270858,0.22212811410626818,4.619478672055488e-12
12,443,34,409,1.1426523386385117,0.10232949822645747,0.03129062363509058
13,5822,1197,4625,1.021660632601559,0.016406196740794878,0.2107004984679147
14,7412,1767,5645,1.1614658337748347,0.04711195205030506,4.958449188278261e-05
15,7275,1300,5975,1.207272338409296,0.09293260318339966,1.9832646046904697e-15
16,1227,66,1161,2.5070871214551205,0.20937054806943975,1.275098234685375e-13
17,783,24,759,2.0399891725407335,0.07236110336188448,0.042945709792797805
18,218,14,204,1.9226664355591074,0.27815696001955204,3.1021425610550296e-05
19,1815,21,1794,1.9089451920711202,0.1763424057149626,3.822976176353046e-14
20,197,24,173,2.3505856319455996,0.33617747975978585,1.3669758429599459e-06
22,4430,817,3613,1.564756343746419,0.16845644177626756,1.4742224633997416e-29
X,244,19,225,1.2057942571812335,0.1244910350296767,0.05211430559559888
Y,108,62,46,0.9116995903018683,0.043909038078634235,0.6518280655101416
