CHR,n,n_hi,n_lo,fold,r,p
1,2436,219,2217,1.5453975001778424,0.1475700069142671,2.4831645374632434e-13
2,1047,128,919,1.5702922413735938,0.16975736871487201,3.26681787643943e-08
3,937,84,853,2.2518630866798146,0.23904827361783407,1.212797782083624e-13
4,941,58,883,1.7827763272083155,0.309644037363561,2.3369640347144094e-22
5,779,137,642,1.8858517621717006,0.37273906390835326,4.399190201932137e-27
6,1361,76,1285,2.1250063730077637,0.14445243044529005,8.684396420856759e-08
7,1181,69,1112,1.7608031674847717,0.1543208388732367,9.838502507361119e-08
8,713,99,614,1.3022833854156053,0.15111176235360174,5.0955331903518615e-05
9,346,34,312,4.415859899443096,0.34296585092262344,5.513654073301047e-11
10,549,52,497,1.8389719816931798,0.2032749731691224,1.568876769124739e-06
11,948,40,908,2.0904678929586202,0.20417103847412088,2.224184237511541e-10
12,443,34,409,1.1139502207085925,0.05849774203622438,0.21914347478144464
13,5822,1197,4625,1.0149363778601446,0.023571905458873624,0.07210605218483208
14,7410,1767,5643,1.1667767131603666,0.05161553713382536,8.77492898047779e-06
15,7274,1299,5975,1.2685183664396527,0.09437576804152795,7.280524060024548e-16
16,1227,66,1161,2.8840772711728144,0.2141356305495782,3.4204602450176274e-14
17,783,24,759,2.707655351099869,0.0710652323075618,0.04682341587320074
18,218,14,204,2.276126499804388,0.2509894525960348,0.00018066098134842306
19,1815,21,1794,2.669127919666649,0.18289105322739252,4.074103869109469e-15
20,197,24,173,2.6548997016054656,0.3992619316651018,6.1819335375785355e-09
22,4430,817,3613,1.7551584699026044,0.17014867136072306,3.954359517648417e-30
X,244,19,225,1.1260663375870392,0.1265545683968791,0.04830892682822381
Y,28,20,8,0.956161995084956,-0.14942528735632182,0.4479056595622466
