CHR,n,n_hi,n_lo,fold,r,p
1,2436,219,2217,1.5526764614267294,0.13459109451499263,2.5612397945020488e-11
2,1047,128,919,1.986164549287325,0.2256110350380353,1.5028826093526533e-13
3,937,84,853,2.5769257596835184,0.23841749533988696,1.411693230710824e-13
4,939,58,881,2.0086139136607786,0.3486811799441162,3.126556086419092e-28
5,778,136,642,2.622783214019114,0.41297388148852526,2.1349990498604143e-33
6,1358,76,1282,1.612608254441418,0.11927219904302339,1.048130010934361e-05
7,1181,69,1112,1.7914388353417523,0.1836070208727395,2.054419626697032e-10
8,713,99,614,1.633525820116082,0.191647079746849,2.519288856570231e-07
9,346,34,312,3.696533519015484,0.30359757707724083,8.243523563674879e-09
10,548,52,496,2.0696867868287425,0.22159433245404503,1.5984869049230008e-07
11,946,40,906,1.9302591057795995,0.23950262945476516,8.292896786952291e-14
12,443,34,409,1.4191035266077705,0.1177509301729888,0.013138191427186524
13,5816,1196,4620,1.0527331572057295,0.031243697435624312,0.017181602351837418
14,7394,1764,5630,1.1189537490416386,0.044008682469144904,0.00015344360360995516
15,7266,1299,5967,1.457797514199775,0.12223874158303995,1.35844996195125e-25
16,1227,66,1161,4.240528755049904,0.2436688815373071,4.82278158432462e-18
17,782,24,758,2.4589295997253338,0.07874623357147213,0.027666862742877447
18,218,14,204,2.3297819309256527,0.24344300319649473,0.00028510684807828526
19,1814,21,1793,2.7137643836528507,0.18780940899188683,7.301926027765581e-16
20,197,24,173,2.3072482416248787,0.31965725838097125,4.67743084829478e-06
22,4427,817,3610,1.988266331267002,0.16074087252066363,5.200825749487221e-27
X,244,19,225,1.2127716361632488,0.13028098914125455,0.04202446258585035
