CHR,n,n_hi,n_lo,fold,r,p
1,2436,219,2217,1.420654501900622,0.10388248293148153,2.769634987918113e-07
2,1047,128,919,1.4114727313836481,0.15737672732470784,3.0856211718728397e-07
3,937,84,853,2.378689234928977,0.24518662974197472,2.7043615168137397e-14
4,942,58,884,1.6485830587812342,0.2606180434807373,4.3227176301080336e-16
5,780,137,643,2.1651726546825683,0.3406874056714047,1.1933437438434484e-22
6,1362,77,1285,1.6851679469929985,0.12333932361604467,4.991752079202064e-06
7,1181,69,1112,1.5458847960058002,0.16164270483871543,2.3255844662618532e-08
8,713,99,614,1.2837545468207883,0.0817231426349319,0.029109663806693015
9,346,34,312,3.457697519003158,0.341582501214952,6.656414658289097e-11
10,549,52,497,1.9284673179387712,0.1784021379282837,2.618421356015234e-05
11,948,40,908,1.5928765881234535,0.15252988283241428,2.3844341074312822e-06
12,442,34,408,1.5634949339935578,0.08043189493196132,0.09123235393269165
13,5822,1197,4625,0.8707857275349562,-1.835493953672098e-05,0.9988827876833878
14,7412,1767,5645,1.1531373887089356,0.039194434388825,0.0007379073130925057
15,7273,1300,5973,1.1850705702815165,0.07639288937907457,6.87571226732779e-11
16,1227,66,1161,3.2606431240465836,0.19344349071358458,8.270132643627087e-12
17,783,24,759,1.8616285922596256,0.07917477335761891,0.026731347124823265
18,218,14,204,2.497095130009144,0.18119222618811132,0.007315550667990023
19,1815,21,1794,2.5536879028951067,0.16611515456314443,1.0665756812760784e-12
20,196,23,173,1.9764771986695113,0.30472312314226746,1.408295100319463e-05
22,4425,815,3610,1.5349450739612205,0.12892264911797224,7.334848414839485e-18
X,244,19,225,1.1949015725276502,0.07450693695814695,0.2462640527557156
Y,108,62,46,1.1398869000309007,0.09959320548362818,0.30512179375716403
