CHR,n,n_hi,n_lo,fold,r,p
1,2437,219,2218,1.634206196587339,0.10609772302637419,1.523024468400725e-07
2,1047,128,919,1.6850008425209662,0.1619748967809301,1.366788996294956e-07
3,937,84,853,4.0070516916899175,0.2857280411597939,4.61151975059631e-19
4,942,58,884,2.551234881791593,0.31355146445464405,6.175997828854456e-23
5,780,137,643,2.173912209933636,0.316592059335555,1.2823463661459244e-19
6,1362,77,1285,2.8756101889269807,0.1270422526106897,2.5599687620222664e-06
7,1181,69,1112,1.9030052433214608,0.16010623917670902,3.1649720532026733e-08
8,713,99,614,1.5700438160667658,0.06075446709563003,0.10503467584072122
9,346,34,312,5.609968223597508,0.3373730818787105,1.1740332632469985e-10
10,549,52,497,2.03642182226482,0.13707485287238788,0.0012834449599313346
11,948,40,908,2.4220514678367153,0.2257368308424558,2.0338946007260834e-12
12,443,34,409,1.8461914391500964,0.07531075297640163,0.11344925890193082
13,5822,1197,4625,0.8003002677086108,0.004447519520374754,0.7343961077794555
14,7412,1767,5645,1.30063822573223,0.04229770939462064,0.0002699489842264145
15,7275,1300,5975,1.3809013655385893,0.06255038467493458,9.322376004410702e-08
16,1227,66,1161,4.796503034227736,0.1971795899133273,3.20568004893453e-12
17,783,24,759,3.5259392163334335,0.08605566164496783,0.016011918130208854
18,218,14,204,2.3798520037635225,0.17582929907237574,0.009282732684656026
19,1815,21,1794,3.2806071760398914,0.1799186707721713,1.1374482644202468e-14
20,197,24,173,2.97032397225043,0.23764004909762707,0.0007723712596985187
22,4430,817,3613,1.7662297905727595,0.10512335652369222,2.311139478890495e-12
X,244,19,225,1.37939851627558,0.02124662858464576,0.741236766700144
Y,108,62,46,0.9022926058683105,0.05617956119542332,0.5636031584029532
