CHR,n,n_hi,n_lo,fold,r,p
1,2437,219,2218,1.823379190079211,0.1842776852845613,4.685311982467561e-20
2,1047,128,919,2.7378754017629157,0.31783657061799536,5.258078080337696e-26
3,937,84,853,3.167707707242218,0.3060100298348758,9.202779780477443e-22
4,942,58,884,2.664480627344885,0.43889008405359586,1.2488440757620748e-45
5,780,137,643,2.908865303035754,0.4123446063419667,2.2596290043846917e-33
6,1362,77,1285,3.0206274116875207,0.22559261666995664,3.5533024957467663e-17
7,1181,69,1112,2.162888272880011,0.272827716192084,1.3262824483809977e-21
8,713,99,614,1.6162848729716783,0.24801317851312799,1.8671818206289572e-11
9,346,34,312,4.642170425547686,0.369719268233152,1.1977303841321774e-12
10,549,52,497,2.730913744692704,0.28082732312958475,2.079997300665438e-11
11,948,40,908,2.5634553292370517,0.3237947958673552,1.4063516807801444e-24
12,443,34,409,1.5385894316246562,0.1342888755582953,0.004635878690833407
13,5822,1197,4625,0.9660344004529194,0.006704028105818133,0.6090521825851312
14,7411,1766,5645,1.1250187465398231,0.040203442953086914,0.0005365435387391698
15,7275,1300,5975,1.756872663253651,0.16452485211016124,2.59412213392124e-45
16,1227,66,1161,5.262638072450289,0.2771152465023472,4.536274946770935e-23
17,783,24,759,3.178510303016951,0.10813805782182936,0.002445625295192574
18,218,14,204,1.7318752804167685,0.20224663789064376,0.0026995085221990277
19,1815,21,1794,2.9933158388019523,0.20661127923017497,5.987245597602905e-19
20,197,24,173,2.593372301418643,0.35926497964206455,2.1650443976652966e-07
22,4430,817,3613,2.0470096579603343,0.17410904661793944,1.722901408917438e-31
X,244,19,225,2.034625434715953,0.2620001734755833,3.4103190843638854e-05
Y,108,62,46,1.0435804259158776,0.08737984318881173,0.3685285826695909
