CHR,n,n_hi,n_lo,fold,r,p
1,2436,219,2217,1.2712321355587015,0.10243977224495897,4.0468446731983885e-07
2,1047,128,919,1.5806369154966124,0.11401108408639911,0.00021837460295643217
3,937,84,853,1.950851315905404,0.20494330159982693,2.4143034111202256e-10
4,942,58,884,1.8533329458066354,0.25931387158563873,6.113817112807872e-16
5,780,137,643,2.18994927195821,0.32083295033990217,3.926801467268154e-20
6,1362,77,1285,1.7860671180116765,0.13367737196806395,7.379207489492661e-07
7,1181,69,1112,1.5631677321654243,0.15363254978613675,1.1228827867677044e-07
8,713,99,614,1.2419558345858746,0.0548674328927562,0.1433017632276667
9,346,34,312,3.81341799839497,0.324227410041044,6.541195917945312e-10
10,549,52,497,2.8352069180476995,0.22216490621181303,1.4445244321545333e-07
11,948,40,908,1.7027707492082136,0.23288028991766285,3.845485589936515e-13
12,442,34,408,1.416479177160016,0.14427740187931395,0.0023611303080618646
13,5822,1197,4625,1.0348301061393532,0.02029488221034266,0.12153379589192677
14,7412,1767,5645,1.149574458010992,0.04670230853474571,5.7643082539841034e-05
15,7273,1300,5973,1.2150320615449275,0.04523267083267696,0.00011392676589853305
16,1227,66,1161,3.623659327340601,0.2537489321018199,1.7554931930305385e-19
17,783,24,759,2.4339183513430633,0.07203893551423568,0.04388351886185251
18,218,14,204,2.288418749655532,0.14968416065847015,0.027117738539848977
19,1815,21,1794,3.6146208088354133,0.15301287073203892,5.642610380357782e-11
20,196,23,173,2.9067407322559506,0.22038903808301927,0.0019094489052130662
22,4425,815,3610,1.463913622749109,0.11356930029061653,3.5337175448462825e-14
X,244,19,225,1.4232719060238936,0.05313970153938928,0.4085827312072794
Y,108,62,46,0.9925748730342433,-0.0529690283612945,0.5861336600797767
