CHR,n_windows,ct_max,ct_mean,HLA_hotspot
1,173906,4.8467,-0.0,
2,165711,4.6114,-0.0,
3,126101,4.8566,0.0,
4,113503,5.0347,-0.0,
5,114877,4.6043,-0.0,
6,114331,5.663,-0.0,chr6:31.2Mb (z=5.66)
7,118032,4.9447,-0.0,
8,99760,4.8157,-0.0,
9,88790,4.6276,-0.0,
10,103021,5.2123,0.0,
11,99841,4.7763,-0.0,
12,99168,4.2981,-0.0,
13,62273,4.3914,0.0,
14,66249,4.6473,0.0,
15,64399,4.5305,0.0,
16,81758,4.8897,-0.0,
17,88148,5.225,0.0,
18,52560,4.7145,0.0,
19,81388,4.9614,0.0,
20,55865,4.2263,0.0,
21,29575,4.3044,0.0,
22,43434,4.6773,0.0,
X,91376,4.8282,0.0,
Y,11586,4.5097,-0.0,
