Cancer,mean,median,std,count
ACC,51.05161663418853,52.42984097802608,8.220093376384273,96
LGG,50.55577595750895,51.678195114969895,5.33628629255493,365
UVM,50.34451540378982,49.94864341223209,7.069008690187964,14
UCS,48.98162103681349,49.47787251675097,8.153140819320454,13
LAML,48.01587467887202,48.18703893923728,4.509346132478697,195
KICH,47.491424344075035,47.211748439609686,4.22731388286255,38
OV,47.22285898096565,48.040469813882986,6.455594850796248,102
UCEC,45.911087283750255,45.33710021877257,7.850024476631576,453
PCPG,45.6073428069622,45.10934900844065,5.074295364697501,46
COAD,44.83335668065596,44.08564221465556,6.561226997523331,202
SKCM,44.774736814007596,44.17745348417727,9.378464497511734,357
THCA,44.69448058646106,45.21186340951888,3.3325215313336605,352
LIHC,44.32902076610152,44.12722427749602,8.145480802960893,121
GBM,43.79528934092562,43.7462123891112,4.7176891704171355,99
CHOL,43.726367643514955,43.84812068545786,6.0127509894588345,45
READ,43.202527504205385,41.86411898934809,4.269249610653217,15
CESC,42.592525568092455,41.19345609450309,6.071620797122292,59
BLCA,42.5037153888946,42.40393776798217,8.2560241349866,214
PRAD,42.29703997518601,41.88554518276421,4.460912870976015,432
ESCA,42.26427119576899,42.176606025337854,7.324512659812062,85
KIRP,41.80517696759976,41.13244999551741,3.41743703566591,104
STAD,41.769982425749916,40.62285635971991,8.470578458763544,333
DLBC,41.741224712483266,39.66189351284472,8.01733154654565,28
HNSC,40.668858647116956,40.27408387863604,7.531025945876668,226
BRCA,40.467625701591054,39.972902167379544,6.689468879129127,318
LUSC,38.88798164416691,38.80122181379763,6.139354379076083,282
KIRC,38.82493951607769,39.17043943309752,3.9438131284351035,604
PAAD,37.352991007027654,35.92881251478163,6.365905768726082,117
LUAD,33.91632354855044,33.96492198461262,5.818366806295029,304
